bioguide,govtrack,icpsr,wikipedia,wikidata,google_entity_id,first,last,birthday,gender,type,start,end,state,class,party,house_history,district,middle,nickname,suffix,bioguide_previous,house_history_alternate,thomas,cspan,votesmart,lis,ballotpedia,official_full,opensecrets,url,fec,maplight,state_rank,caucus,end-type,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,rep,'1993-01-05','1995-01-03',OH,,Democrat,9996,13,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,,H2OH13033|S6OH00163,168.0,,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,rep,'1995-01-04','1997-01-03',OH,,Democrat,9996,13,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,,H2OH13033|S6OH00163,168.0,,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,rep,'1997-01-07','1999-01-03',OH,,Democrat,9996,13,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,,H2OH13033|S6OH00163,168.0,,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,rep,'1999-01-06','2001-01-03',OH,,Democrat,9996,13,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,,H2OH13033|S6OH00163,168.0,,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,rep,'2001-01-03','2003-01-03',OH,,Democrat,9996,13,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,,H2OH13033|S6OH00163,168.0,,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,rep,'2003-01-07','2005-01-03',OH,,Democrat,9996,13,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,http://www.house.gov/sherrodbrown,H2OH13033|S6OH00163,168.0,,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,rep,'2005-01-04','2007-01-03',OH,,Democrat,9996,13,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,http://www.house.gov/sherrodbrown,H2OH13033|S6OH00163,168.0,,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,sen,'2007-01-04','2013-01-03',OH,1.0,Democrat,9996,,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,http://brown.senate.gov/,H2OH13033|S6OH00163,168.0,,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,sen,'2013-01-03','2019-01-03',OH,1.0,Democrat,9996,,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,https://www.brown.senate.gov,H2OH13033|S6OH00163,168.0,senior,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B000944,400050,29389.0,Sherrod Brown,Q381880,kg:/m/034s80,Sherrod,Brown,'1952-11-09',M,sen,'2019-01-03','2025-01-03',OH,1.0,Democrat,9996,,,,,,,'00136',5051,27018,S307,Sherrod Brown,Sherrod Brown,N00003535,https://www.brown.senate.gov,H2OH13033|S6OH00163,168.0,senior,,,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
