bioguide,thomas,lis,govtrack,opensecrets,votesmart,fec,cspan,wikipedia,house_history,ballotpedia,maplight,icpsr,wikidata,google_entity_id,first,last,official_full,birthday,gender,type,start,end,state,district,party,url,class,state_rank,middle,nickname,suffix,caucus,end-type
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,rep,'1993-01-05','1995-01-03',OH,13,Democrat,,,,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,rep,'1995-01-04','1997-01-03',OH,13,Democrat,,,,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,rep,'1997-01-07','1999-01-03',OH,13,Democrat,,,,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,rep,'1999-01-06','2001-01-03',OH,13,Democrat,,,,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,rep,'2001-01-03','2003-01-03',OH,13,Democrat,,,,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,rep,'2003-01-07','2005-01-03',OH,13,Democrat,http://www.house.gov/sherrodbrown,,,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,rep,'2005-01-04','2007-01-03',OH,13,Democrat,http://www.house.gov/sherrodbrown,,,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,sen,'2007-01-04','2013-01-03',OH,,Democrat,http://brown.senate.gov/,1,,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,sen,'2013-01-03','2019-01-03',OH,,Democrat,https://www.brown.senate.gov,1,senior,,,,,
B000944,'00136',S307,400050,N00003535,27018,H2OH13033|S6OH00163,5051,Sherrod Brown,9996,Sherrod Brown,168,29389,Q381880,kg:/m/034s80,Sherrod,Brown,Sherrod Brown,'1952-11-09',M,sen,'2019-01-03','2025-01-03',OH,,Democrat,https://www.brown.senate.gov,1,senior,,,,,
C000127,'00172',S275,300018,N00007836,27122,S8WA00194|H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,Maria,Cantwell,Maria Cantwell,'1958-10-13',F,rep,'1993-01-05','1995-01-03',WA,1,Democrat,,,,,,,,
C000127,'00172',S275,300018,N00007836,27122,S8WA00194|H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,Maria,Cantwell,Maria Cantwell,'1958-10-13',F,sen,'2001-01-03','2007-01-03',WA,,Democrat,http://cantwell.senate.gov,1,,,,,,
C000127,'00172',S275,300018,N00007836,27122,S8WA00194|H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,Maria,Cantwell,Maria Cantwell,'1958-10-13',F,sen,'2007-01-04','2013-01-03',WA,,Democrat,http://cantwell.senate.gov,1,,,,,,
C000127,'00172',S275,300018,N00007836,27122,S8WA00194|H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,Maria,Cantwell,Maria Cantwell,'1958-10-13',F,sen,'2013-01-03','2019-01-03',WA,,Democrat,https://www.cantwell.senate.gov,1,junior,,,,,
C000127,'00172',S275,300018,N00007836,27122,S8WA00194|H2WA01054,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,Maria,Cantwell,Maria Cantwell,'1958-10-13',F,sen,'2019-01-03','2025-01-03',WA,,Democrat,https://www.cantwell.senate.gov,1,junior,,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'1987-01-06','1989-01-03',MD,3,Democrat,,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'1989-01-03','1991-01-03',MD,3,Democrat,,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'1991-01-03','1993-01-03',MD,3,Democrat,,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'1993-01-05','1995-01-03',MD,3,Democrat,,,,L.,,,,
