bioguide,govtrack,icpsr,wikipedia,wikidata,google_entity_id,first,last,birthday,gender,type,start,end,state,class,party,house_history,district,middle,nickname,suffix,bioguide_previous,house_history_alternate,thomas,cspan,votesmart,lis,ballotpedia,official_full,opensecrets,url,fec,maplight,state_rank
H000916,405761,4695,Daniel Huger,Q1161182,kg:/m/04vc5n,Daniel,Huger,'1742-02-20',M,rep,'1789-03-04','1791-03-03',SC,,,15416,3,,,,,,,,,,,,,,,,
H000916,405761,4695,Daniel Huger,Q1161182,kg:/m/04vc5n,Daniel,Huger,'1742-02-20',M,rep,'1791-10-24','1793-03-03',SC,,,15416,3,,,,,,,,,,,,,,,,
W000551,411707,10193,Hugh Williamson,Q663151,kg:/m/02pyy0,Hugh,Williamson,'1735-12-05',M,rep,'1789-03-04','1791-03-03',NC,,Federalist,23868,2,,,,,,,,,,,,,,,,
W000551,411707,10193,Hugh Williamson,Q663151,kg:/m/02pyy0,Hugh,Williamson,'1735-12-05',M,rep,'1791-10-24','1793-03-03',NC,,Federalist,23868,4,,,,,,,,,,,,,,,,
H000359,405228,4204,Jonathan Nicoll Havens,Q543677,kg:/m/0cwd51,Jonathan,Havens,'1757-06-18',M,rep,'1795-12-07','1797-03-03',NY,,Republican,14723,2,Nicoll,,,,,,,,,,,,,,,
H000359,405228,4204,Jonathan Nicoll Havens,Q543677,kg:/m/0cwd51,Jonathan,Havens,'1757-06-18',M,rep,'1797-05-15','1799-03-03',NY,,Republican,14723,2,Nicoll,,,,,,,,,,,,,,,
H000359,405228,4204,Jonathan Nicoll Havens,Q543677,kg:/m/0cwd51,Jonathan,Havens,'1757-06-18',M,rep,'1799-12-02','1801-03-03',NY,,Republican,14723,2,Nicoll,,,,,,,,,,,,,,,
I000011,405873,4800,James Henderson Imlay,Q1680547,kg:/m/02619hd,James,Imlay,'1764-11-26',M,rep,'1797-05-15','1799-03-03',NJ,,Federalist,15630,-1,Henderson,,,,,,,,,,,,,,,
I000011,405873,4800,James Henderson Imlay,Q1680547,kg:/m/02619hd,James,Imlay,'1764-11-26',M,rep,'1799-12-02','1801-03-03',NJ,,Federalist,15630,4,Henderson,,,,,,,,,,,,,,,
E000008,403704,2814,John B. Earle,Q1699201,kg:/m/02vn_x3,John,Earle,'1766-10-23',M,rep,'1803-10-17','1805-03-03',SC,,Republican,12612,8,Baylis,,,,,,,,,,,,,,,
P000577,408960,7658,Samuel D. Purviance,Q2218126,kg:/m/09vj8y,Samuel,Purviance,'1774-01-07',M,rep,'1803-10-17','1805-03-03',NC,,Federalist,19997,7,Dinsmore,,,,,,,,,,,,,,,
V000083,411139,9658,Abraham B. Venable,Q329740,kg:/m/08hxzf,Abraham,Venable,'1758-11-20',M,rep,'1791-10-24','1793-03-03',VA,,Democratic Republican,20975,6,Bedford,,,,,,,,,,,,,,,
V000083,411139,9658,Abraham B. Venable,Q329740,kg:/m/08hxzf,Abraham,Venable,'1758-11-20',M,rep,'1793-12-02','1795-03-03',VA,,Democratic Republican,20975,7,Bedford,,,,,,,,,,,,,,,
V000083,411139,9658,Abraham B. Venable,Q329740,kg:/m/08hxzf,Abraham,Venable,'1758-11-20',M,rep,'1795-12-07','1797-03-03',VA,,Republican,20975,7,Bedford,,,,,,,,,,,,,,,
V000083,411139,9658,Abraham B. Venable,Q329740,kg:/m/08hxzf,Abraham,Venable,'1758-11-20',M,rep,'1797-05-15','1799-03-03',VA,,Republican,20975,7,Bedford,,,,,,,,,,,,,,,
V000083,411139,9658,Abraham B. Venable,Q329740,kg:/m/08hxzf,Abraham,Venable,'1758-11-20',M,sen,'1803-10-17','1805-03-03',VA,1,Republican,20975,,Bedford,,,,,,,,,,,,,,,
W000531,411688,10173,Nathan Williams (politician),Q2913186,kg:/m/026kc77,Nathan,Williams,'1773-12-19',M,rep,'1805-12-02','1807-03-03',NY,,Republican,23846,15,,,,,,,,,,,,,,,,
H000464,412051,4293,William Helms,Q604143,kg:/m/0262rrl,William,Helms,'1783-09-30',M,rep,'1801-12-07','1803-03-03',NJ,,Republican,14857,-1,,,,,,,,,,,,,,,,
H000464,412051,4293,William Helms,Q604143,kg:/m/0262rrl,William,Helms,'1783-09-30',M,rep,'1803-10-17','1805-03-03',NJ,,Republican,14857,-1,,,,,,,,,,,,,,,,
H000464,412051,4293,William Helms,Q604143,kg:/m/0262rrl,William,Helms,'1783-09-30',M,rep,'1805-12-02','1807-03-03',NJ,,Republican,14857,-1,,,,,,,,,,,,,,,,
H000464,412051,4293,William Helms,Q604143,kg:/m/0262rrl,William,Helms,'1783-09-30',M,rep,'1807-10-26','1809-03-03',NJ,,Republican,14857,-1,,,,,,,,,,,,,,,,
H000464,412051,4293,William Helms,Q604143,kg:/m/0262rrl,William,Helms,'1783-09-30',M,rep,'1809-05-22','1811-03-03',NJ,,Republican,14857,-1,,,,,,,,,,,,,,,,
S000507,412178,8595,Dennis Smelt,Q1189525,kg:/m/0g9s9j,Dennis,Smelt,'1763-11-23',M,rep,'1806-09-01','1807-03-03',GA,,Republican,21770,0,,,,,,,,,,,,,,,,
S000507,412178,8595,Dennis Smelt,Q1189525,kg:/m/0g9s9j,Dennis,Smelt,'1763-11-23',M,rep,'1807-10-26','1809-03-03',GA,,Republican,21770,0,,,,,,,,,,,,,,,,
S000507,412178,8595,Dennis Smelt,Q1189525,kg:/m/0g9s9j,Dennis,Smelt,'1763-11-23',M,rep,'1809-05-22','1811-03-03',GA,,Republican,21770,0,,,,,,,,,,,,,,,,
C001033,403140,2294,Richard Cutts,Q1798708,kg:/m/0261kpd,Richard,Cutts,'1771-06-28',M,rep,'1801-12-07','1803-03-03',MA,,Republican,11739,14,,,,,,,,,,,,,,,,
C001033,403140,2294,Richard Cutts,Q1798708,kg:/m/0261kpd,Richard,Cutts,'1771-06-28',M,rep,'1803-10-17','1805-03-03',MA,,Republican,11739,14,,,,,,,,,,,,,,,,
C001033,403140,2294,Richard Cutts,Q1798708,kg:/m/0261kpd,Richard,Cutts,'1771-06-28',M,rep,'1805-12-02','1807-03-03',MA,,Republican,11739,14,,,,,,,,,,,,,,,,
C001033,403140,2294,Richard Cutts,Q1798708,kg:/m/0261kpd,Richard,Cutts,'1771-06-28',M,rep,'1807-10-26','1809-03-03',MA,,Republican,11739,14,,,,,,,,,,,,,,,,
C001033,403140,2294,Richard Cutts,Q1798708,kg:/m/0261kpd,Richard,Cutts,'1771-06-28',M,rep,'1809-05-22','1811-03-03',MA,,Republican,11739,14,,,,,,,,,,,,,,,,
C001033,403140,2294,Richard Cutts,Q1798708,kg:/m/0261kpd,Richard,Cutts,'1771-06-28',M,rep,'1811-11-04','1813-03-03',MA,,Republican,11739,14,,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,rep,'1795-12-07','1797-03-03',MA,,Democratic Republican,20964,9,Bradley,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,rep,'1797-05-15','1799-03-03',MA,,Democratic Republican,20964,9,Bradley,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,rep,'1799-12-02','1801-03-03',MA,,Democratic Republican,20964,9,Bradley,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,rep,'1801-12-07','1803-03-03',MA,,Democratic Republican,20964,9,Bradley,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,rep,'1803-10-17','1805-03-03',MA,,Democratic Republican,20964,4,Bradley,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,rep,'1805-12-02','1807-03-03',MA,,Democratic Republican,20964,4,Bradley,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,rep,'1807-10-26','1809-03-03',MA,,Democratic Republican,20964,4,Bradley,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,rep,'1809-05-22','1811-03-03',MA,,Democratic Republican,20964,4,Bradley,,,,,,,,,,,,,,,
V000074,412131,9650,Joseph Bradley Varnum,Q1706673,kg:/m/024676,Joseph,Varnum,'1750-01-29',M,sen,'1811-11-04','1817-03-03',MA,2,Democratic Republican,20964,,Bradley,,,,,,,,,,,,,,,
C000320,402462,1662,John J. Chappell,Q1700566,kg:/m/02vrn__,John,Chappell,'1782-01-19',M,rep,'1813-05-24','1815-03-03',SC,,Republican,10854,4,Joel,,,,,,,,,,,,,,,
C000320,402462,1662,John J. Chappell,Q1700566,kg:/m/02vrn__,John,Chappell,'1782-01-19',M,rep,'1815-12-04','1817-03-03',SC,,Republican,10854,4,Joel,,,,,,,,,,,,,,,
C000914,403026,2183,Henry Crocheron,Q64317,kg:/m/02rkqdx,Henry,Crocheron,'1772-12-26',M,rep,'1815-12-04','1817-03-03',NY,,Republican,11599,1,,,,,,,,,,,,,,,,
M000288,412069,6115,William Mayrant,Q2579902,kg:/m/02vrp43,William,Mayrant,'1816-10-21',M,rep,'1815-12-04','1817-03-03',SC,,Republican,17678,9,,,,,,,,,,,,,,,,
S000638,410112,8707,William Stephens Smith,Q8018789,kg:/m/026_tbr,William,Smith,'1755-11-08',M,rep,'1813-05-24','1815-03-03',NY,,Federalist,21923,17,Stephens,,,,,,,,,,,,,,,
S000638,410112,8707,William Stephens Smith,Q8018789,kg:/m/026_tbr,William,Smith,'1755-11-08',M,rep,'1815-12-04','1817-03-03',NY,,Federalist,21923,-1,Stephens,,,,,,,,,,,,,,,
H000186,405067,4054,Martin D. Hardin,Q1235648,kg:/m/0c16n2,Martin,Hardin,'1780-06-21',M,sen,'1816-01-01','1817-03-03',KY,2,Federalist,,,D.,,,,,,,,,,,,,,,
