bioguide,name_fam,relation
U000039,Stewart Lee Udall,son
U000039,Morris K. Udall,nephew
U000039,Mark Udall,cousin
U000039,Gordon H. Smith,cousin
B001257,Michael Bilirakis,son
C001047,Arch Alfred Moore Jr.,daughter
C001072,Julia Carson,grandson
C001049,William Lacy Clay Sr.,son
C000537,George Washington Murray,relative
D000600,Lincoln Diaz Balart,brother
L000566,'Delbert L. Latta ',son
L000563,William Oliver Lipinski,son
M001163,Robert Matsui,wife
M001153,Frank Hughes Murkowski,daughter
P000603,Ronald Ernest Paul,son
P000197,Thomas D?Alesandro Jr.,daughter
R000486,Edward R. Roybal,daughter
S001168,Senator Paul Sarbanes,son
S001156,Loretta Sanchez,sister
P000604,Donald Milford Payne,son
K000379,Joseph Patrick Kennedy II,son
K000379,Edward Moore Kennedy,great nephew
K000379,John Fitzgerald Kennedy,great nephew
K000379,John Francis Fitzgerald,great great grandson
K000379,Patrick Joseph Kennedy,first cousin once removed
K000380,Dale Edward Kildee,nephew
